Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
McKinsey & Company,566,United States,http://www.mckinsey.com,,,North America,Mature,Industrial & Commercial Services,"McKinsey & Company is a global management consulting firm and trusted advisor by businesses, governments, and institutions.",crunchbase,https://www.crunchbase.com/organization/mckinsey-company,2024-05-16,20,55.55555555555555,3.0,2,857,3,0,3,657,18,-100.0,48.6,10,37,0,3,7,0,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,5,0,0,1809,4213,San Francisco,California,https://parat.eto.tech/company/566-mckinsey-company
PNC Financial Services,2459,United States,https://www.pnc.com/,S&P 500,,North America,Mature,Banking & Investment Services,PNC is a financial service company providing bank deposits products and services to its community.,crunchbase,https://www.crunchbase.com/organization/pnc-financial-services-group,2024-05-16,0,,0.0,0,0,0,0,0,43,16,,28.6,15,56,0,16,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,4185,Pittsburgh,Pennsylvania,https://parat.eto.tech/company/2459-pnc-financial-services
Deere,2037,United States,https://www.deere.com/en/index.html,S&P 500,,North America,Mature,Industrial Goods,"John Deere manufactures agricultural, construction, and forestry machinery.",crunchbase,https:// https://www.crunchbase.com/organization/john-deere,2024-05-16,28,-100.0,6.1,0,373,5,0,19,458,140,60.72649572649573,2.5,85,5539,97,12,10,0,0,0,2,0,3,0,0,0,0,45,20,2,0,30,56,6,36,77,0,1,0,38,10,0,0,466,4057,Moline,Illinois,https://parat.eto.tech/company/2037-deere
Home Depot,836,United States,https://www.homedepot.com/,S&P 500,,North America,Mature,Retailers,The Home Depot provides customers with innovative home improvement products at a great value.,crunchbase,https://www.crunchbase.com/organization/the-home-depot-corporate,2024-05-16,28,147.22222222222223,32.2,16,204,7,3,0,87,33,61.111111111111114,14.8,10,223,0,0,13,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,568,4053,Atlanta,Georgia,https://parat.eto.tech/company/836-home-depot
CVS Health,1796,United States,https://www.cvshealth.com/,S&P 500,Aetna,North America,Mature,Healthcare Services & Equipment,CVS Health is a health solutions company that provides an integrated healthcare services to its members.,crunchbase,https://www.crunchbase.com/organization/cvs-caremark,2024-05-16,27,36.666666666666664,3.9,0,337,5,1,1,700,36,33.33333333333333,18.9,19,190,0,5,8,0,0,0,0,0,0,24,0,0,0,17,0,3,0,4,0,1,3,0,0,4,0,0,4,0,2,924,3843,Woonsocket,Rhode Island,https://parat.eto.tech/company/1796-cvs-health
L3Harris Technologies,480,United States,https://www.l3harris.com/,S&P 500,,North America,Mature,Industrial Goods,"L3 Harris is a proven leader in tactical communications, geospatial systems, air traffic management, avionics, and space and intelligence.",crunchbase,https://www.crunchbase.com/organization/harris,2024-05-16,37,91.66666666666667,11.5,0,135,8,0,10,321,36,204.7619047619048,3.9,25,929,0,0,3,2,0,0,0,0,1,1,0,0,1,12,0,1,0,13,1,2,11,4,4,4,0,6,3,1,1,45,3764,Melbourne,Florida,https://parat.eto.tech/company/480-l3harris-technologies
J.P. Morgan,518,United States,https://www.jpmorgan.com/,S&P 500,,North America,Mature,Banking & Investment Services,JP Morgan is a financial services company that offers investment banking and financial services for consumers and small businesses.,crunchbase,https://www.crunchbase.com/organization/jp-morgan-chase,2024-05-16,149,134.12698412698413,23.8,27,2127,13,22,2,626,346,64.00041692724619,20.8,144,1666,0,77,88,0,0,0,0,0,0,1,0,0,2,207,1,45,0,63,1,15,5,1,2,53,5,2,53,0,8,561,3742,New York,New York,https://parat.eto.tech/company/518-j-p-morgan
Electronic Arts,1671,United States,http://www.ea.com,S&P 500,,North America,Mature,Software & IT Services,"Electronic Arts delivers games, content, and online services for internet-connected consoles, PCs, mobile phones, and tablets.",crunchbase,https://www.crunchbase.com/organization/electronicarts,2024-05-16,59,19.15343915343915,38.1,4,903,21,1,1,155,112,55.1984126984127,25.5,86,440,0,2,4,0,0,0,0,86,0,1,0,0,0,35,0,1,0,8,1,3,45,0,0,8,0,1,1,0,6,345,3702,Redwood City,California,https://parat.eto.tech/company/1671-electronic-arts
Equifax,2305,United States,https://www.equifax.com/,S&P 500,,North America,Mature,Industrial & Commercial Services,"Equifax is a data, analytics, and technology company for automotive, fintech, healthcare, and insurance industries.",crunchbase,https://www.crunchbase.com/organization/equifax,2024-05-16,4,-100.0,8.9,0,468,0,0,0,45,46,37.22222222222222,40.7,22,113,0,14,12,0,0,0,0,0,0,0,0,0,0,22,0,6,0,11,0,3,2,0,0,7,0,0,11,0,0,630,3655,Atlanta,Georgia,https://parat.eto.tech/company/2305-equifax
Humana,1913,United States,https://www.humana.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Humana is an online store that specializes in the supply of baby food.,crunchbase,https://www.crunchbase.com/organization/humana,2024-05-16,27,87.3015873015873,0.3,0,357,3,10,2,7754,14,-100.0,23.7,4,59,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,689,3646,Louisville,Kentucky,https://parat.eto.tech/company/1913-humana
Johnson & Johnson,842,United States,http://www.jnj.com,S&P 500,Abiomed,North America,Mature,Pharmaceuticals & Medical Research,"Johnson & Johnson develops medical devices, pharmaceuticals, and consumer packaged goods.",crunchbase,https://www.crunchbase.com/organization/johnson-johnson,2024-05-16,88,188.4848484848485,2.0,2,10426,21,2,21,4422,217,49.106002554278426,1.9,79,11268,0,1,13,1,0,2,1,0,14,197,0,0,0,47,2,9,0,16,1,91,54,14,0,2,0,19,12,0,2,845,3642,New Brunswick,New Jersey,https://parat.eto.tech/company/842-johnson-johnson
Centene,1905,United States,https://www.centene.com/,S&P 500,WellCare,North America,Mature,Healthcare Services & Equipment,"Centene provides healthcare solutions to families and individuals in order for them to get well, stay well, and be well.",crunchbase,https://www.crunchbase.com/organization/centene-corporation,2024-05-16,0,,0.0,0,0,0,0,0,62,2,-100.0,40.0,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,787,3608,St Louis,Missouri,https://parat.eto.tech/company/1905-centene
Micron Technology,2107,United States,https://www.micron.com/,S&P 500,,North America,Mature,Technology Equipment,"Micron Technology is a semiconductor company that produces DRAM, SDRAM, flash memory, SSD and CMOS image sensing chips.",crunchbase,https:// https://www.crunchbase.com/organization/micron-technology,2024-05-16,22,44.444444444444436,1.6,0,149,6,2,4,1393,427,117.07779549884812,4.7,249,9091,0,30,21,0,0,1,5,0,5,14,0,0,2,305,4,42,16,113,84,15,44,63,1,6,0,25,16,0,8,657,3585,Boise,Idaho,https://parat.eto.tech/company/2107-micron-technology
Experian,440,United States,https://www.experian.com/,,,North America,Mature,Cyclical Consumer Services,Experian is a data analytics and consumer credit reporting company.,crunchbase,https://www.crunchbase.com/organization/experian,2024-05-16,10,0.0,24.4,4,179,5,2,1,41,16,22.222222222222218,16.3,5,98,0,5,5,0,0,0,0,0,0,3,0,0,0,10,0,3,0,1,0,0,0,0,0,2,1,0,0,0,0,654,3570,Costa Mesa,California,https://parat.eto.tech/company/440-experian
Caterpillar,1921,United States,http://www.caterpillar.com/,S&P 500,,North America,Mature,Industrial Goods,Caterpillar has been making sustainable progress possible and driving positive change on every continent.,crunchbase,https://www.crunchbase.com/organization/caterpillar-inc,2024-05-16,23,5.555555555555557,5.7,0,424,4,1,16,407,129,59.18710918710919,1.6,72,8138,1,18,37,0,0,1,3,1,8,3,0,0,1,28,66,5,0,8,57,3,19,61,0,4,0,31,36,0,0,503,3570,Deerfield,Illinois,https://parat.eto.tech/company/1921-caterpillar
Bmw,783,Germany,http://www.bmwgroup.com/,,,Europe,Mature,Automobiles & Auto Parts,Bayerische Motoren Werke manufactures and sells luxury cars and motorcycles worldwide.,crunchbase,https://www.crunchbase.com/organization/bmw,2024-05-16,545,15.24920255183413,21.0,17,7536,118,2,216,2599,335,37.383740015318956,1.8,97,18853,0,14,34,0,0,0,20,0,7,9,0,0,0,74,8,10,0,39,180,34,44,91,3,8,0,83,27,0,9,335,3569,Munich,Bayern,https://parat.eto.tech/company/783-bmw
United Parcel Service,1875,United States,https://www.ups.com/,S&P 500,,North America,Mature,Transportation,UPS is a package delivery company that offers the transportation of packages and freight and the facilitation of international trade.,crunchbase,https://www.crunchbase.com/organization/united-parcel-service,2024-05-16,4,-100.0,1.8,0,25,0,0,0,218,21,65.0,7.6,10,275,0,0,21,2,0,0,0,0,7,0,0,0,0,10,0,0,0,2,5,0,6,3,0,4,0,1,21,0,0,295,3561,Atlanta,Georgia,https://parat.eto.tech/company/1875-united-parcel-service
Netapp,2427,United States,http://www.netapp.com/,S&P 500,,North America,Mature,Technology Equipment,"NetApp specializes in data storage, data infrastructure, and data management solutions.",crunchbase,https://www.crunchbase.com/organization/netapp,2024-05-16,34,19.444444444444446,13.2,5,575,2,8,0,258,41,233.33333333333334,3.5,30,1186,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,3,0,17,0,8,2,0,0,4,0,0,1,0,0,128,3484,Sunnyvale,California,https://parat.eto.tech/company/2427-netapp
NXP Semiconductors,606,Netherlands,http://www.nxp.com,S&P 500,,Europe,Mature,Technology Equipment,NXP Semiconductors produces secure connectivity solutions for embedded applications,crunchbase,https://www.crunchbase.com/organization/nxp-semiconductors,2024-05-16,119,32.85714285714286,5.5,3,1227,32,1,13,2161,66,13.055555555555557,1.1,34,6240,0,4,0,0,0,0,1,1,0,3,0,0,0,37,0,20,1,25,11,9,5,6,0,3,0,14,0,0,6,106,3458,Eindhoven,Noord-Brabant,https://parat.eto.tech/company/606-nxp-semiconductors
ExxonMobil,1385,United States,https://exxonmobil.com,S&P 500,,North America,Mature,Energy - Fossil Fuels,ExxonMobil is an international oil and gas company that provides energy that helps underpin growing economies.,crunchbase,https://www.crunchbase.com/organization/exxonmobil,2024-05-16,46,22.222222222222225,1.2,4,690,1,2,6,3934,76,112.85403050108933,1.9,41,3993,2,1,8,0,0,0,1,0,1,4,0,0,1,32,17,0,0,1,1,5,8,11,1,1,1,47,6,0,0,463,3450,Irving,Texas,https://parat.eto.tech/company/1385-exxonmobil
Thermo Fisher Scientific,2509,United States,https://www.thermofisher.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Thermo Fisher Scientific is a biotechnology and laboratory equipment company that provides a wide range of scientific products and services.,crunchbase,https://www.crunchbase.com/organization/thermo-fisher-scientific,2024-05-16,38,-2.2222222222222214,0.7,0,653,26,0,4,5771,72,55.303030303030305,3.2,21,2241,0,0,1,0,0,0,0,0,0,17,0,0,0,22,36,0,2,4,0,5,33,3,0,3,0,35,1,0,0,333,3437,Waltham,Massachusetts,https://parat.eto.tech/company/2509-thermo-fisher-scientific
ABB,798,Switzerland,http://www.abb.com,,,Europe,Mature,Industrial Goods,ABB provides electrification and automation solutions for various industries.,crunchbase,https://www.crunchbase.com/organization/abb,2024-05-16,224,15.851370851370852,5.5,3,3672,18,0,117,4047,189,86.79763925943892,2.5,57,7578,0,2,25,0,0,1,32,0,41,5,0,0,1,58,10,4,1,33,10,24,27,109,0,21,0,34,25,0,0,216,3421,Zürich,Zurich,https://parat.eto.tech/company/798-abb
Spotify,844,Sweden,http://www.spotify.com,,,Europe,Mature,Software & IT Services,Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.,crunchbase,https://www.crunchbase.com/organization/spotify,2024-05-16,77,38.316993464052295,36.5,41,1739,0,11,0,211,85,109.4949494949495,21.6,56,394,0,0,11,0,0,0,0,24,0,0,0,0,0,56,0,6,0,21,1,19,3,0,0,6,2,1,2,0,27,826,3386,Stockholm,Stockholms Lan,https://parat.eto.tech/company/844-spotify
PepsiCo,1893,United States,https://www.pepsico.com/,S&P 500,,North America,Mature,Food & Beverages,PepsiCo is a food and beverage company that makes enjoyable foods and beverages that are loved throughout the world.,crunchbase,https:// https://www.crunchbase.com/organization/pepsico,2024-05-16,3,,0.4,0,11,0,0,2,803,6,-100.0,0.7,1,824,3,1,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,2,5,0,0,0,1,1,0,0,807,3299,Harrison,New York,https://parat.eto.tech/company/1893-pepsico
Procter & Gamble,639,United States,https://pg.com,S&P 500,,North America,Mature,Personal & Household Products & Services,Procter & Gamble Company offers a variety of consumer goods products.,crunchbase,https://www.crunchbase.com/organization/procter-and-gamble,2024-05-16,17,58.333333333333336,0.9,2,240,9,1,2,1931,72,44.22799422799422,1.0,25,7063,0,1,29,0,0,1,0,0,20,40,0,0,1,28,0,4,0,5,1,13,44,3,0,1,0,9,7,0,1,870,3261,Cincinnati,Ohio,https://parat.eto.tech/company/639-procter-gamble
Abbott,1515,United States,https://www.abbott.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Abbott is engaged in pharmaceuticals and manufacturing healthcare products.,crunchbase,https://www.crunchbase.com/organization/abbott,2024-05-16,39,108.33333333333333,0.8,0,569,9,0,15,4835,64,57.5,2.3,27,2784,0,0,2,0,0,0,1,0,0,61,0,0,1,7,1,1,0,4,1,48,8,0,1,0,0,2,1,0,0,506,3221,Abbott Park,Illinois,https://parat.eto.tech/company/1515-abbott
Fortinet,2327,United States,https://www.fortinet.com/,S&P 500,,North America,Mature,Software & IT Services,"Fortinet is a provider of network security appliances that include firewalls, security gateways, and complementary products.",crunchbase,https://www.crunchbase.com/organization/fortinet,2024-05-16,9,83.33333333333333,36.0,0,165,1,0,1,25,63,133.33333333333334,11.5,37,546,0,1,2,0,0,0,0,0,0,0,0,0,0,36,0,14,0,43,0,7,4,0,0,4,0,0,2,0,0,29,3214,Sunnyvale,California,https://parat.eto.tech/company/2327-fortinet
Alibaba,21,China,http://alibabagroup.com,"Global Big Tech, GenAI Contenders",,Asia,Mature,Software & IT Services,"Alibaba Group enables businesses to transform the way they market, sell, operate, and improve their efficiencies.",crunchbase,https://www.crunchbase.com/organization/alibaba,2024-05-16,3705,67.6087958151412,62.2,1664,83234,1328,917,66,5956,2097,38.683756258825284,7.0,847,29921,2,132,391,13,0,6,6,7,35,32,0,0,10,1214,3,86,2,177,41,35,347,26,3,63,23,37,198,0,86,670,3149,Hangzhou,Zhejiang,https://parat.eto.tech/company/21-alibaba
Cadence Design Systems,2241,United States,https://www.cadence.com/,S&P 500,,North America,Mature,Software & IT Services,"Cadence Design Systems develops electronic design automation, software, hardware and silicon intellectual property technologies.",crunchbase,https://www.crunchbase.com/organization/cadence-design-systems,2024-05-16,59,9.145299145299148,7.5,1,372,9,2,3,790,51,35.833333333333336,5.1,51,1006,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,1,1,0,20,1,2,0,0,0,0,1,0,1,33,3127,San Jose,California,https://parat.eto.tech/company/2241-cadence-design-systems
AP Moller - Maersk,2010,Denmark,https://www.maersk.com/,,,Europe,Mature,Unknown,Maersk is an integrated container logistics company working to connect and simplify its customers’ supply chains.,crunchbase,https://www.crunchbase.com/organization/maersk,2024-05-16,527,22.482993197278912,29.6,2,5432,59,5,356,1780,3,,1.5,1,205,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,480,3124,Copenhagen,Hovedstaden,https://parat.eto.tech/company/2010-ap-moller-maersk
Discover Financial Services,835,United States,https://www.discover.com,S&P 500,,North America,Mature,Banking & Investment Services,Discover is a digital bank and payments services company.,crunchbase,https://www.crunchbase.com/organization/discover-financial-services,2024-05-16,9,-50.0,25.0,0,54,0,0,0,36,8,300.0,22.2,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,886,3089,Riverwoods,Illinois,https://parat.eto.tech/company/835-discover-financial-services
Medtronic,1553,United States,http://www.medtronic.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Medtronic develops healthcare technology solutions for various medical conditions.,crunchbase,https://www.crunchbase.com/organization/medtronic,2024-05-16,82,34.074074074074076,1.7,1,1026,24,2,18,4858,375,144.22466422466422,3.9,116,9612,0,0,0,0,0,3,1,0,4,363,0,0,0,50,1,9,0,13,0,200,81,4,0,6,1,8,0,0,0,288,3077,Minneapolis,Minnesota,https://parat.eto.tech/company/1553-medtronic
Allstate,2019,United States,https://www.allstate.com/,S&P 500,,North America,Mature,Insurance,"Allstate is an insurance company that offers car, home, and life insurance services.",crunchbase,https:// https://www.crunchbase.com/organization/allstate,2024-05-16,11,-100.0,16.7,0,34,2,2,0,66,101,35.714285714285715,21.7,64,466,0,52,33,0,0,1,0,0,0,7,0,0,2,39,2,5,0,28,36,4,7,29,0,0,1,18,19,0,4,509,2999,Northbrook,Illinois,https://parat.eto.tech/company/2019-allstate
State Street,2497,United States,http://www.statestreet.com/,S&P 500,,North America,Mature,Banking & Investment Services,"State Street offers a range of financial services, including investment management, research and trading, as well as asset management.",crunchbase,https://www.crunchbase.com/organization/state-street-corporation,2024-05-16,37,19.444444444444446,0.8,0,611,8,6,4,4401,7,-33.333333333333336,41.2,4,17,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,1,1,0,3,0,0,396,2991,Boston,Massachusetts,https://parat.eto.tech/company/2497-state-street
Netflix,176,United States,https://www.netflix.com,S&P 500,,North America,Mature,Software & IT Services,Netflix is an online streaming platform that enables users to watch TV shows and movies.,crunchbase,https://www.crunchbase.com/organization/netflix,2024-05-16,134,26.1574074074074,30.4,47,7376,37,8,0,441,47,9.523809523809526,15.8,27,298,0,0,1,0,0,0,0,3,0,0,0,0,0,28,0,1,0,23,0,9,14,0,0,2,0,0,0,0,9,368,2955,Los Gatos,California,https://parat.eto.tech/company/176-netflix
Lenovo,936,China,http://www.lenovo.com,,,Asia,Mature,Technology Equipment,"Lenovo Group is a computer technology company that manufactures personal computers, smartphones, televisions, and wearable devices.",crunchbase,https://www.crunchbase.com/organization/lenovo,2024-05-16,295,44.65470942899123,50.8,54,8854,163,46,4,581,216,12.342657342657345,1.6,93,13119,0,2,17,0,0,0,2,2,8,5,0,0,2,67,0,7,0,85,6,29,24,7,1,11,2,15,12,0,13,259,2932,Beijing,Beijing ,https://parat.eto.tech/company/936-lenovo
Johnson Controls,2100,Ireland,http://www.johnsoncontrols.com/,S&P 500,,Europe,Mature,Industrial Goods,"Johnson Controls offers smart buildings that create safe, healthy, and sustainable environments.",crunchbase,https://www.crunchbase.com/organization/johnson-controls,2024-05-16,16,83.33333333333333,4.6,2,561,2,1,1,348,218,6.998978928803489,4.6,126,4766,0,23,41,0,0,0,62,0,7,1,0,0,10,81,53,43,0,41,4,20,26,104,3,36,4,5,35,0,6,173,2899,Cork,Cork,https://parat.eto.tech/company/2100-johnson-controls
Aptiv,336,Ireland,http://www.aptiv.com/,S&P 500,,Europe,Mature,Automobiles & Auto Parts,"Aptiv is a global technology company that develops safer, greener, and more connected solutions, which enable the future of mobility.",crunchbase,https://www.crunchbase.com/organization/aptiv,2024-05-16,126,22.883597883597883,17.7,5,6622,64,0,41,712,288,1.0553410553410565,10.1,121,2847,0,17,11,1,0,2,2,0,1,4,0,0,1,78,2,3,1,88,171,61,72,124,0,3,2,143,7,0,2,110,2867,Dublin,Dublin,https://parat.eto.tech/company/336-aptiv
Blackrock,358,United States,http://www.blackrock.com,S&P 500,,North America,Mature,Banking & Investment Services,"BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.",crunchbase,https://www.crunchbase.com/organization/blackrock,2024-05-16,11,-50.0,1.8,0,181,1,3,3,605,5,,41.7,2,12,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,2858,New York,New York,https://parat.eto.tech/company/358-blackrock
Progressive,2093,United States,https://www.progressive.com/,S&P 500,,North America,Mature,Insurance,Progressive Insurance is a property and casualty insurance provider.,crunchbase,https://www.crunchbase.com/organization/progressive-commercial,2024-05-16,0,,0.0,0,0,0,0,0,9,1,-100.0,100.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,420,2819,Mayfield,Ohio,https://parat.eto.tech/company/2093-progressive
Western Digital,2539,United States,https://www.westerndigital.com/,S&P 500,,North America,Mature,Technology Equipment,"Western Digital helps customers capture, preserve, access, and transform an ever-increasing diversity of data.",crunchbase,https://www.crunchbase.com/organization/western-digital,2024-05-16,52,140.9090909090909,4.6,2,352,9,0,5,1124,182,46.560846560846564,2.3,117,7932,0,0,1,0,0,0,1,0,1,2,0,0,1,147,1,7,12,24,0,3,19,14,0,5,1,2,1,0,0,174,2798,San Jose,California,https://parat.eto.tech/company/2539-western-digital
Disney,1383,United States,https://www.thewaltdisneycompany.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,The Walt Disney Company started as a cartoon studio and evolves into sports coverage and television shows.,crunchbase,https://www.crunchbase.com/organization/the-walt-disney-company,2024-05-16,514,-36.162173832582816,35.0,88,28319,234,32,151,1467,273,53.8235294117647,15.0,190,1826,0,1,23,0,0,5,1,18,9,2,0,0,3,123,0,8,0,84,7,20,123,11,1,20,8,3,8,1,18,384,2788,Burbank,California,https://parat.eto.tech/company/1383-disney
Astrazeneca,341,United Kingdom,http://www.astrazeneca.com,,Alexion Pharmaceuticals,Europe,Mature,Pharmaceuticals & Medical Research,"AstraZeneca is a pharmaceutical company that discovers, develops, manufactures, and markets prescription medicines.",crunchbase,https://www.crunchbase.com/organization/astrazeneca,2024-05-16,320,88.07417403908632,1.4,12,7933,70,15,6,23186,23,94.44444444444444,1.7,13,1342,0,0,0,0,0,0,0,0,1,13,0,0,0,8,2,0,0,0,0,2,11,0,0,1,0,3,0,0,0,796,2774,Cambridge,Cambridgeshire,https://parat.eto.tech/company/341-astrazeneca
Emerson Electric Company,2302,United States,https://www.emerson.com/,S&P 500,,North America,Mature,Industrial Goods,Emerson is an technology & engineering company providing innovative solutions for customers in industrial and residential markets.,crunchbase,https://www.crunchbase.com/organization/emerson,2024-05-16,23,11.111111111111109,2.6,3,254,8,0,4,891,62,73.33333333333333,1.5,38,4052,0,1,11,0,0,0,5,0,16,0,0,0,0,26,7,1,0,5,2,3,6,44,0,9,0,7,11,0,1,108,2744,St. Louis,Missouri,https://parat.eto.tech/company/2302-emerson-electric-company
MetLife,1883,United States,https://www.metlife.com/,S&P 500,,North America,Mature,Insurance,"MetLife is a provider of insurance, employee benefits, and financial services .",crunchbase,https://www.crunchbase.com/organization/metlife,2024-05-16,3,-100.0,3.5,0,32,0,0,0,85,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,2718,New York,New York,https://parat.eto.tech/company/1883-metlife
Deutsche Telekom,1390,Germany,http://www.telekom.com,,,Europe,Mature,Telecommunications Services,Deutsche Telekom is a telecommunications company that offers a range of fixed-network services.,crunchbase,https://www.crunchbase.com/organization/deutsche-telekom,2024-05-16,100,126.35327635327637,6.9,0,2604,10,8,22,1443,77,73.4920634920635,5.5,37,1398,0,3,10,0,0,2,0,0,1,1,0,0,0,36,0,13,0,43,1,8,5,1,2,3,0,1,3,0,3,197,2705,Bonn,Nordrhein-Westfalen,https://parat.eto.tech/company/1390-deutsche-telekom
Texas Instruments,714,United States,http://www.ti.com,S&P 500,,North America,Mature,Technology Equipment,"Texas Instruments is a global semiconductor company that manufactures, designs, tests, and sells embedded and analog processing chips.",crunchbase,https://www.crunchbase.com/organization/texas-instruments,2024-05-16,113,-5.026455026455025,4.3,14,2724,59,1,16,2625,80,27.222222222222218,1.2,38,6506,0,0,0,0,0,0,1,0,1,0,0,0,0,56,0,1,0,10,1,15,18,5,0,1,0,5,0,0,2,65,2665,Dallas,Texas,https://parat.eto.tech/company/714-texas-instruments
Equinix,2306,United States,https://www.equinix.com/,S&P 500,,North America,Mature,Real Estate,"Equinix is an internet company that provides data center services for companies, businesses, and organizations.",crunchbase,https://www.crunchbase.com/organization/equinix,2024-05-16,1,,20.0,0,12,0,1,0,5,10,-87.5,9.3,8,108,0,1,2,0,0,0,3,0,1,0,0,0,0,7,0,2,0,7,1,2,0,2,0,0,0,0,2,0,0,123,2632,Redwood City,California,https://parat.eto.tech/company/2306-equinix
Aon,2216,United Kingdom,https://www.aon.com/,S&P 500,,Europe,Mature,Insurance,"Aon is a global provider of risk management, insurance and reinsurance brokerage, human resources solutions, and outsourcing services.",crunchbase,https://www.crunchbase.com/organization/aon-corporation,2024-05-16,0,,0.0,0,0,0,0,0,22,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,2612,London,London,https://parat.eto.tech/company/2216-aon
Elevance Health,1831,United States,https://www.elevancehealth.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,Elevance Health is an integrated whole-health approach to help people in health journey and address their full range of needs.,crunchbase,https://www.crunchbase.com/organization/wellpoint,2024-05-16,21,116.66666666666667,4.2,1,216,2,0,0,500,5,-100.0,38.5,2,13,0,2,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,2603,Indianapolis,Indiana,https://parat.eto.tech/company/1831-elevance-health
F5 Networks,2315,United States,https://www.f5.com/,S&P 500,,North America,Mature,Software & IT Services,F5 Networks provides application security and delivery tools.,crunchbase,https://www.crunchbase.com/organization/f5-networks,2024-05-16,3,,8.3,0,33,0,0,2,36,19,-50.0,7.0,11,270,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,14,0,4,0,0,0,1,0,0,0,0,0,47,2594,Seattle,Washington,https://parat.eto.tech/company/2315-f5-networks
Rockwell Automation,2479,United States,https://www.rockwellautomation.com/,S&P 500,,North America,Mature,Industrial Goods,Rockwell Automation deals with industrial automation investment and helps other firms with strategies for their automation technology.,crunchbase,https://www.crunchbase.com/organization/rockwell-automation,2024-05-16,31,-22.222222222222225,4.3,0,550,8,0,14,728,115,45.555555555555564,7.9,55,1457,1,0,20,0,0,1,2,0,27,0,0,0,2,48,6,11,0,31,2,12,9,95,0,5,0,4,20,0,1,91,2567,Milwaukee,Wisconsin,https://parat.eto.tech/company/2479-rockwell-automation
